"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Controllers\libController.js", "JavaScript", 7, 0, -3, 0, 4
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Controllers\profController.js", "JavaScript", 5, 0, 0, 1, 6
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Helper\checkAuth.js", "JavaScript", 1, 0, 1, -1, 1
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Helper\helpRep.js", "JavaScript", 9, 0, 0, 2, 11
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Repositories\profRepository.js", "JavaScript", 0, 0, 0, -1, -1
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Routers\libRouter.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Routers\profRouter.js", "JavaScript", 4, 0, 0, 1, 5
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Services\profService.js", "JavaScript", 7, 0, 0, 2, 9
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\index.js", "JavaScript", 5, 0, 0, 4, 9
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\package-lock.json", "JSON", 0, 13, 0, 0, 13
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\package.json", "JSON", 0, 1, 0, 0, 1
"Total", "-", 39, 14, -2, 8, 59