"filename", "language", "JavaScript", "JSON", "XML", "Properties", "comment", "blank", "total"
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\.env", "Properties", 0, 0, 0, 7, 0, 1, 8
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Controllers\adminController.js", "JavaScript", 18, 0, 0, 0, 0, 10, 28
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Controllers\authController.js", "JavaScript", 16, 0, 0, 0, 1, 5, 22
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Controllers\libController.js", "JavaScript", 18, 0, 0, 0, 0, 7, 25
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Controllers\profController.js", "JavaScript", 21, 0, 0, 0, 2, 7, 30
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Helper\File.js", "JavaScript", 17, 0, 0, 0, 9, 6, 32
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Helper\checkAuth.js", "JavaScript", 30, 0, 0, 0, 1, 9, 40
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Helper\distRole.js", "JavaScript", 12, 0, 0, 0, 0, 3, 15
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Helper\getDate.js", "JavaScript", 4, 0, 0, 0, 0, 0, 4
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Helper\helpRep.js", "JavaScript", 46, 0, 0, 0, 0, 12, 58
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Repositories\adminRepository.js", "JavaScript", 54, 0, 0, 0, 0, 20, 74
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Repositories\authRepository.js", "JavaScript", 50, 0, 0, 0, 0, 16, 66
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Repositories\libRepository.js", "JavaScript", 26, 0, 0, 0, 0, 7, 33
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Repositories\profRepository.js", "JavaScript", 56, 0, 0, 0, 0, 17, 73
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Routers\adminRouter.js", "JavaScript", 7, 0, 0, 0, 0, 6, 13
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Routers\authRouter.js", "JavaScript", 5, 0, 0, 0, 0, 4, 9
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Routers\libRouter.js", "JavaScript", 7, 0, 0, 0, 0, 5, 12
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Routers\profRouter.js", "JavaScript", 9, 0, 0, 0, 0, 6, 15
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Services\adminService.js", "JavaScript", 19, 0, 0, 0, 0, 11, 30
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Services\authService.js", "JavaScript", 34, 0, 0, 0, 0, 19, 53
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Services\libService.js", "JavaScript", 10, 0, 0, 0, 0, 4, 14
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Services\profService.js", "JavaScript", 36, 0, 0, 0, 0, 17, 53
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Users\profile.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\index.js", "JavaScript", 35, 0, 0, 0, 0, 17, 52
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\package-lock.json", "JSON", 0, 2610, 0, 0, 0, 1, 2611
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\package.json", "JSON", 0, 28, 0, 0, 0, 1, 29
"Total", "-", 530, 2638, 1, 7, 13, 211, 3400